species,character,value,name,type
P. butleri,character_16,NA,Allometric growth of sword.,growth
A. hubberi,character_16,NA,Allometric growth of sword.,growth
P. coompressa,character_16,NA,Allometric growth of sword.,growth
P. intermedia,character_16,NA,Allometric growth of sword.,growth
P. olmaceae,character_16,NA,Allometric growth of sword.,growth
X. alvarezi,character_16,0,Allometric growth of sword.,growth
X. andersi,character_16,0,Allometric growth of sword.,growth
X. birchmanni,character_16,NA,Allometric growth of sword.,growth
X. clemenciae,character_16,0,Allometric growth of sword.,growth
X. continens,character_16,NA,Allometric growth of sword.,growth
X. cortezi,character_16,0,Allometric growth of sword.,growth
X. couchianus,character_16,NA,Allometric growth of sword.,growth
X. evelynae,character_16,NA,Allometric growth of sword.,growth
X. gordoni,character_16,NA,Allometric growth of sword.,growth
X. helleri,character_16,0,Allometric growth of sword.,growth
X. maculatus,character_16,NA,Allometric growth of sword.,growth
X. malinche,character_16,0,Allometric growth of sword.,growth
X. meyeri,character_16,NA,Allometric growth of sword.,growth
X. milleri,character_16,NA,Allometric growth of sword.,growth
X. montezumae,character_16,0,Allometric growth of sword.,growth
X. multilineatus,character_16,1,Allometric growth of sword.,growth
X. nezahualcqyotl,character_16,0,Allometric growth of sword.,growth
X. nigrensis,character_16,1,Allometric growth of sword.,growth
X. pygmaeus,character_16,NA,Allometric growth of sword.,growth
X. signum,character_16,0,Allometric growth of sword.,growth
X. variatus,character_16,NA,Allometric growth of sword.,growth
X. xiphidium,character_16,NA,Allometric growth of sword.,growth
P. reticulata,character_17,NA,Sex-determining mechanism,sex_determination
P. butleri,character_17,2,Sex-determining mechanism,sex_determination
A. hubberi,character_17,NA,Sex-determining mechanism,sex_determination
P. coompressa,character_17,NA,Sex-determining mechanism,sex_determination
P. intermedia,character_17,NA,Sex-determining mechanism,sex_determination
P. olmaceae,character_17,NA,Sex-determining mechanism,sex_determination
X. alvarezi,character_17,2,Sex-determining mechanism,sex_determination
X. andersi,character_17,0,Sex-determining mechanism,sex_determination
X. birchmanni,character_17,NA,Sex-determining mechanism,sex_determination
X. clemenciae,character_17,NA,Sex-determining mechanism,sex_determination
X. continens,character_17,NA,Sex-determining mechanism,sex_determination
X. cortezi,character_17,0,Sex-determining mechanism,sex_determination
X. couchianus,character_17,0,Sex-determining mechanism,sex_determination
X. evelynae,character_17,NA,Sex-determining mechanism,sex_determination
X. gordoni,character_17,NA,Sex-determining mechanism,sex_determination
X. helleri,character_17,2,Sex-determining mechanism,sex_determination
X. maculatus,character_17,1,Sex-determining mechanism,sex_determination
X. malinche,character_17,NA,Sex-determining mechanism,sex_determination
X. meyeri,character_17,NA,Sex-determining mechanism,sex_determination
X. milleri,character_17,0,Sex-determining mechanism,sex_determination
X. montezumae,character_17,NA,Sex-determining mechanism,sex_determination
X. multilineatus,character_17,0,Sex-determining mechanism,sex_determination
X. nezahualcqyotl,character_17,0,Sex-determining mechanism,sex_determination
X. nigrensis,character_17,0,Sex-determining mechanism,sex_determination
X. pygmaeus,character_17,0,Sex-determining mechanism,sex_determination
X. signum,character_17,NA,Sex-determining mechanism,sex_determination
X. variatus,character_17,0,Sex-determining mechanism,sex_determination
X. xiphidium,character_17,0,Sex-determining mechanism,sex_determination
P. reticulata,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
P. butleri,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
A. hubberi,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
P. coompressa,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
P. intermedia,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
P. olmaceae,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. alvarezi,character_18,1,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. andersi,character_18,0,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. birchmanni,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. clemenciae,character_18,1,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. continens,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. cortezi,character_18,0,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. couchianus,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. evelynae,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. gordoni,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. helleri,character_18,1,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. maculatus,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. malinche,character_18,0,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. meyeri,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. milleri,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. montezumae,character_18,0,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. multilineatus,character_18,0,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. nezahualcqyotl,character_18,0,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. nigrensis,character_18,0,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. pygmaeus,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. signum,character_18,1,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. variatus,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
X. xiphidium,character_18,NA,Dusky band continuous with dorsal pigment of sword.,pigmentation
P. reticulata,character_19,0,Proximal dorsal pigmentation of the sword.,pigmentation
P. butleri,character_19,NA,Proximal dorsal pigmentation of the sword.,pigmentation
A. hubberi,character_19,NA,Proximal dorsal pigmentation of the sword.,pigmentation
P. coompressa,character_19,NA,Proximal dorsal pigmentation of the sword.,pigmentation
P. intermedia,character_19,NA,Proximal dorsal pigmentation of the sword.,pigmentation
P. olmaceae,character_19,NA,Proximal dorsal pigmentation of the sword.,pigmentation
X. alvarezi,character_19,1,Proximal dorsal pigmentation of the sword.,pigmentation
X. andersi,character_19,0,Proximal dorsal pigmentation of the sword.,pigmentation
X. birchmanni,character_19,0,Proximal dorsal pigmentation of the sword.,pigmentation
X. clemenciae,character_19,1,Proximal dorsal pigmentation of the sword.,pigmentation
X. continens,character_19,0,Proximal dorsal pigmentation of the sword.,pigmentation
X. cortezi,character_19,1,Proximal dorsal pigmentation of the sword.,pigmentation
X. couchianus,character_19,NA,Proximal dorsal pigmentation of the sword.,pigmentation
X. evelynae,character_19,NA,Proximal dorsal pigmentation of the sword.,pigmentation
X. gordoni,character_19,NA,Proximal dorsal pigmentation of the sword.,pigmentation
X. helleri,character_19,1,Proximal dorsal pigmentation of the sword.,pigmentation
X. maculatus,character_19,NA,Proximal dorsal pigmentation of the sword.,pigmentation
X. malinche,character_19,1,Proximal dorsal pigmentation of the sword.,pigmentation
X. meyeri,character_19,NA,Proximal dorsal pigmentation of the sword.,pigmentation
X. milleri,character_19,NA,Proximal dorsal pigmentation of the sword.,pigmentation
X. montezumae,character_19,1,Proximal dorsal pigmentation of the sword.,pigmentation
X. multilineatus,character_19,1,Proximal dorsal pigmentation of the sword.,pigmentation
X. nezahualcqyotl,character_19,1,Proximal dorsal pigmentation of the sword.,pigmentation
X. nigrensis,character_19,1,Proximal dorsal pigmentation of the sword.,pigmentation
X. pygmaeus,character_19,0,Proximal dorsal pigmentation of the sword.,pigmentation
X. signum,character_19,1,Proximal dorsal pigmentation of the sword.,pigmentation
X. variatus,character_19,NA,Proximal dorsal pigmentation of the sword.,pigmentation
X. xiphidium,character_19,0,Proximal dorsal pigmentation of the sword.,pigmentation
P. reticulata,character_20,NA,Distal dorsal sword pigment.,pigmentation
P. butleri,character_20,NA,Distal dorsal sword pigment.,pigmentation
A. hubberi,character_20,NA,Distal dorsal sword pigment.,pigmentation
P. coompressa,character_20,NA,Distal dorsal sword pigment.,pigmentation
P. intermedia,character_20,NA,Distal dorsal sword pigment.,pigmentation
P. olmaceae,character_20,NA,Distal dorsal sword pigment.,pigmentation
X. alvarezi,character_20,0,Distal dorsal sword pigment.,pigmentation
X. andersi,character_20,0,Distal dorsal sword pigment.,pigmentation
X. birchmanni,character_20,NA,Distal dorsal sword pigment.,pigmentation
X. clemenciae,character_20,1,Distal dorsal sword pigment.,pigmentation
X. continens,character_20,NA,Distal dorsal sword pigment.,pigmentation
X. cortezi,character_20,1,Distal dorsal sword pigment.,pigmentation
X. couchianus,character_20,NA,Distal dorsal sword pigment.,pigmentation
X. evelynae,character_20,NA,Distal dorsal sword pigment.,pigmentation
X. gordoni,character_20,NA,Distal dorsal sword pigment.,pigmentation
X. helleri,character_20,0,Distal dorsal sword pigment.,pigmentation
X. maculatus,character_20,NA,Distal dorsal sword pigment.,pigmentation
X. malinche,character_20,1,Distal dorsal sword pigment.,pigmentation
X. meyeri,character_20,NA,Distal dorsal sword pigment.,pigmentation
X. milleri,character_20,NA,Distal dorsal sword pigment.,pigmentation
X. montezumae,character_20,1,Distal dorsal sword pigment.,pigmentation
X. multilineatus,character_20,1,Distal dorsal sword pigment.,pigmentation
X. nezahualcqyotl,character_20,1,Distal dorsal sword pigment.,pigmentation
X. nigrensis,character_20,1,Distal dorsal sword pigment.,pigmentation
X. pygmaeus,character_20,NA,Distal dorsal sword pigment.,pigmentation
X. signum,character_20,0,Distal dorsal sword pigment.,pigmentation
X. variatus,character_20,NA,Distal dorsal sword pigment.,pigmentation
X. xiphidium,character_20,0,Distal dorsal sword pigment.,pigmentation
P. reticulata,character_21,0,Grave spot.,pigmentation
P. butleri,character_21,0,Grave spot.,pigmentation
A. hubberi,character_21,0,Grave spot.,pigmentation
P. coompressa,character_21,0,Grave spot.,pigmentation
P. intermedia,character_21,0,Grave spot.,pigmentation
P. olmaceae,character_21,0,Grave spot.,pigmentation
X. alvarezi,character_21,2,Grave spot.,pigmentation
X. andersi,character_21,0,Grave spot.,pigmentation
X. birchmanni,character_21,1,Grave spot.,pigmentation
X. clemenciae,character_21,1,Grave spot.,pigmentation
X. continens,character_21,1,Grave spot.,pigmentation
X. cortezi,character_21,1,Grave spot.,pigmentation
X. couchianus,character_21,0,Grave spot.,pigmentation
X. evelynae,character_21,0,Grave spot.,pigmentation
X. gordoni,character_21,0,Grave spot.,pigmentation
X. helleri,character_21,2,Grave spot.,pigmentation
X. maculatus,character_21,0,Grave spot.,pigmentation
X. malinche,character_21,1,Grave spot.,pigmentation
X. meyeri,character_21,0,Grave spot.,pigmentation
X. milleri,character_21,0,Grave spot.,pigmentation
X. montezumae,character_21,1,Grave spot.,pigmentation
X. multilineatus,character_21,1,Grave spot.,pigmentation
X. nezahualcqyotl,character_21,1,Grave spot.,pigmentation
X. nigrensis,character_21,1,Grave spot.,pigmentation
X. pygmaeus,character_21,0,Grave spot.,pigmentation
X. signum,character_21,2,Grave spot.,pigmentation
X. variatus,character_21,0,Grave spot.,pigmentation
X. xiphidium,character_21,0,Grave spot.,pigmentation
P. reticulata,character_22,NA,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
P. butleri,character_22,NA,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
A. hubberi,character_22,NA,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
P. coompressa,character_22,NA,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
P. intermedia,character_22,NA,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
P. olmaceae,character_22,NA,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. alvarezi,character_22,1,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. andersi,character_22,0,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. birchmanni,character_22,1,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. clemenciae,character_22,1,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. continens,character_22,0,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. cortezi,character_22,1,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. couchianus,character_22,0,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. evelynae,character_22,0,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. gordoni,character_22,1,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. helleri,character_22,1,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. maculatus,character_22,0,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. malinche,character_22,1,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. meyeri,character_22,0,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. milleri,character_22,0,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. montezumae,character_22,1,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. multilineatus,character_22,1,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. nezahualcqyotl,character_22,1,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. nigrensis,character_22,1,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. pygmaeus,character_22,0,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. signum,character_22,1,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. variatus,character_22,0,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
X. xiphidium,character_22,0,Ventralmarginofcaudale_nandsworddenselyedged by melanophores,pigmentation
P. reticulata,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
P. butleri,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
A. hubberi,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
P. coompressa,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
P. intermedia,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
P. olmaceae,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
X. alvarezi,character_23,1,Yellow and orange carotenoid sword pigmentation,pigmentation
X. andersi,character_23,0,Yellow and orange carotenoid sword pigmentation,pigmentation
X. birchmanni,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
X. clemenciae,character_23,1,Yellow and orange carotenoid sword pigmentation,pigmentation
X. continens,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
X. cortezi,character_23,1,Yellow and orange carotenoid sword pigmentation,pigmentation
X. couchianus,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
X. evelynae,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
X. gordoni,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
X. helleri,character_23,1,Yellow and orange carotenoid sword pigmentation,pigmentation
X. maculatus,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
X. malinche,character_23,1,Yellow and orange carotenoid sword pigmentation,pigmentation
X. meyeri,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
X. milleri,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
X. montezumae,character_23,1,Yellow and orange carotenoid sword pigmentation,pigmentation
X. multilineatus,character_23,1,Yellow and orange carotenoid sword pigmentation,pigmentation
X. nezahualcqyotl,character_23,1,Yellow and orange carotenoid sword pigmentation,pigmentation
X. nigrensis,character_23,1,Yellow and orange carotenoid sword pigmentation,pigmentation
X. pygmaeus,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
X. signum,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
X. variatus,character_23,NA,Yellow and orange carotenoid sword pigmentation,pigmentation
X. xiphidium,character_23,0,Yellow and orange carotenoid sword pigmentation,pigmentation
P. reticulata,character_24,NA,Green pteridine sword pigmentation,pigmentation
P. butleri,character_24,NA,Green pteridine sword pigmentation,pigmentation
A. hubberi,character_24,NA,Green pteridine sword pigmentation,pigmentation
P. coompressa,character_24,NA,Green pteridine sword pigmentation,pigmentation
P. intermedia,character_24,NA,Green pteridine sword pigmentation,pigmentation
P. olmaceae,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. alvarezi,character_24,1,Green pteridine sword pigmentation,pigmentation
X. andersi,character_24,0,Green pteridine sword pigmentation,pigmentation
X. birchmanni,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. clemenciae,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. continens,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. cortezi,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. couchianus,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. evelynae,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. gordoni,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. helleri,character_24,1,Green pteridine sword pigmentation,pigmentation
X. maculatus,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. malinche,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. meyeri,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. milleri,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. montezumae,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. multilineatus,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. nezahualcqyotl,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. nigrensis,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. pygmaeus,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. signum,character_24,1,Green pteridine sword pigmentation,pigmentation
X. variatus,character_24,NA,Green pteridine sword pigmentation,pigmentation
X. xiphidium,character_24,0,Green pteridine sword pigmentation,pigmentation
P. reticulata,character_25,NA,Drosopterin,pigmentation
P. butleri,character_25,NA,Drosopterin,pigmentation
A. hubberi,character_25,NA,Drosopterin,pigmentation
P. coompressa,character_25,NA,Drosopterin,pigmentation
P. intermedia,character_25,NA,Drosopterin,pigmentation
P. olmaceae,character_25,NA,Drosopterin,pigmentation
X. alvarezi,character_25,1,Drosopterin,pigmentation
X. andersi,character_25,NA,Drosopterin,pigmentation
X. birchmanni,character_25,1,Drosopterin,pigmentation
X. clemenciae,character_25,1,Drosopterin,pigmentation
X. continens,character_25,1,Drosopterin,pigmentation
X. cortezi,character_25,1,Drosopterin,pigmentation
X. couchianus,character_25,1,Drosopterin,pigmentation
X. evelynae,character_25,1,Drosopterin,pigmentation
X. gordoni,character_25,1,Drosopterin,pigmentation
X. helleri,character_25,1,Drosopterin,pigmentation
X. maculatus,character_25,1,Drosopterin,pigmentation
X. malinche,character_25,1,Drosopterin,pigmentation
X. meyeri,character_25,NA,Drosopterin,pigmentation
X. milleri,character_25,NA,Drosopterin,pigmentation
X. montezumae,character_25,1,Drosopterin,pigmentation
X. multilineatus,character_25,0,Drosopterin,pigmentation
X. nezahualcqyotl,character_25,1,Drosopterin,pigmentation
X. nigrensis,character_25,0,Drosopterin,pigmentation
X. pygmaeus,character_25,0,Drosopterin,pigmentation
X. signum,character_25,NA,Drosopterin,pigmentation
X. variatus,character_25,1,Drosopterin,pigmentation
X. xiphidium,character_25,NA,Drosopterin,pigmentation
P. reticulata,character_26,NA,Sex-linked red and yellow patterns,pigmentation
P. butleri,character_26,NA,Sex-linked red and yellow patterns,pigmentation
A. hubberi,character_26,NA,Sex-linked red and yellow patterns,pigmentation
P. coompressa,character_26,NA,Sex-linked red and yellow patterns,pigmentation
P. intermedia,character_26,NA,Sex-linked red and yellow patterns,pigmentation
P. olmaceae,character_26,NA,Sex-linked red and yellow patterns,pigmentation
X. alvarezi,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. andersi,character_26,NA,Sex-linked red and yellow patterns,pigmentation
X. birchmanni,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. clemenciae,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. continens,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. cortezi,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. couchianus,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. evelynae,character_26,1,Sex-linked red and yellow patterns,pigmentation
X. gordoni,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. helleri,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. maculatus,character_26,1,Sex-linked red and yellow patterns,pigmentation
X. malinche,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. meyeri,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. milleri,character_26,1,Sex-linked red and yellow patterns,pigmentation
X. montezumae,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. multilineatus,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. nezahualcqyotl,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. nigrensis,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. pygmaeus,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. signum,character_26,0,Sex-linked red and yellow patterns,pigmentation
X. variatus,character_26,1,Sex-linked red and yellow patterns,pigmentation
X. xiphidium,character_26,1,Sex-linked red and yellow patterns,pigmentation
P. reticulata,character_27,NA,yellow caudal fin,pigmentation
P. butleri,character_27,NA,yellow caudal fin,pigmentation
A. hubberi,character_27,NA,yellow caudal fin,pigmentation
P. coompressa,character_27,NA,yellow caudal fin,pigmentation
P. intermedia,character_27,NA,yellow caudal fin,pigmentation
P. olmaceae,character_27,NA,yellow caudal fin,pigmentation
X. alvarezi,character_27,NA,yellow caudal fin,pigmentation
X. andersi,character_27,NA,yellow caudal fin,pigmentation
X. birchmanni,character_27,1,yellow caudal fin,pigmentation
X. clemenciae,character_27,0,yellow caudal fin,pigmentation
X. continens,character_27,0,yellow caudal fin,pigmentation
X. cortezi,character_27,1,yellow caudal fin,pigmentation
X. couchianus,character_27,NA,yellow caudal fin,pigmentation
X. evelynae,character_27,NA,yellow caudal fin,pigmentation
X. gordoni,character_27,NA,yellow caudal fin,pigmentation
X. helleri,character_27,NA,yellow caudal fin,pigmentation
X. maculatus,character_27,NA,yellow caudal fin,pigmentation
X. malinche,character_27,NA,yellow caudal fin,pigmentation
X. meyeri,character_27,NA,yellow caudal fin,pigmentation
X. milleri,character_27,NA,yellow caudal fin,pigmentation
X. montezumae,character_27,0,yellow caudal fin,pigmentation
X. multilineatus,character_27,1,yellow caudal fin,pigmentation
X. nezahualcqyotl,character_27,0,yellow caudal fin,pigmentation
X. nigrensis,character_27,1,yellow caudal fin,pigmentation
X. pygmaeus,character_27,1,yellow caudal fin,pigmentation
X. signum,character_27,NA,yellow caudal fin,pigmentation
X. variatus,character_27,NA,yellow caudal fin,pigmentation
X. xiphidium,character_27,NA,yellow caudal fin,pigmentation
P. reticulata,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
P. butleri,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
A. hubberi,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
P. coompressa,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
P. intermedia,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
P. olmaceae,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. alvarezi,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. andersi,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. birchmanni,character_28,1,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. clemenciae,character_28,0,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. continens,character_28,0,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. cortezi,character_28,1,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. couchianus,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. evelynae,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. gordoni,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. helleri,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. maculatus,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. malinche,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. meyeri,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. milleri,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. montezumae,character_28,0,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. multilineatus,character_28,1,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. nezahualcqyotl,character_28,0,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. nigrensis,character_28,1,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. pygmaeus,character_28,0,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. signum,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. variatus,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
X. xiphidium,character_28,NA,yellow dorsal and ventral edges of the caudal e_n,pigmentation
P. reticulata,character_29,NA,solid yellow body coloration,pigmentation
P. butleri,character_29,NA,solid yellow body coloration,pigmentation
A. hubberi,character_29,NA,solid yellow body coloration,pigmentation
P. coompressa,character_29,NA,solid yellow body coloration,pigmentation
P. intermedia,character_29,NA,solid yellow body coloration,pigmentation
P. olmaceae,character_29,NA,solid yellow body coloration,pigmentation
X. alvarezi,character_29,NA,solid yellow body coloration,pigmentation
X. andersi,character_29,NA,solid yellow body coloration,pigmentation
X. birchmanni,character_29,0,solid yellow body coloration,pigmentation
X. clemenciae,character_29,0,solid yellow body coloration,pigmentation
X. continens,character_29,0,solid yellow body coloration,pigmentation
X. cortezi,character_29,0,solid yellow body coloration,pigmentation
X. couchianus,character_29,NA,solid yellow body coloration,pigmentation
X. evelynae,character_29,NA,solid yellow body coloration,pigmentation
X. gordoni,character_29,NA,solid yellow body coloration,pigmentation
X. helleri,character_29,NA,solid yellow body coloration,pigmentation
X. maculatus,character_29,NA,solid yellow body coloration,pigmentation
X. malinche,character_29,0,solid yellow body coloration,pigmentation
X. meyeri,character_29,NA,solid yellow body coloration,pigmentation
X. milleri,character_29,NA,solid yellow body coloration,pigmentation
X. montezumae,character_29,0,solid yellow body coloration,pigmentation
X. multilineatus,character_29,1,solid yellow body coloration,pigmentation
X. nezahualcqyotl,character_29,0,solid yellow body coloration,pigmentation
X. nigrensis,character_29,0,solid yellow body coloration,pigmentation
X. pygmaeus,character_29,1,solid yellow body coloration,pigmentation
X. signum,character_29,NA,solid yellow body coloration,pigmentation
X. variatus,character_29,NA,solid yellow body coloration,pigmentation
X. xiphidium,character_29,NA,solid yellow body coloration,pigmentation
P. reticulata,character_30,NA,Two or more rows of red lateral marks,pigmentation
P. butleri,character_30,NA,Two or more rows of red lateral marks,pigmentation
A. hubberi,character_30,NA,Two or more rows of red lateral marks,pigmentation
P. coompressa,character_30,NA,Two or more rows of red lateral marks,pigmentation
P. intermedia,character_30,NA,Two or more rows of red lateral marks,pigmentation
P. olmaceae,character_30,NA,Two or more rows of red lateral marks,pigmentation
X. alvarezi,character_30,1,Two or more rows of red lateral marks,pigmentation
X. andersi,character_30,0,Two or more rows of red lateral marks,pigmentation
X. birchmanni,character_30,0,Two or more rows of red lateral marks,pigmentation
X. clemenciae,character_30,1,Two or more rows of red lateral marks,pigmentation
X. continens,character_30,0,Two or more rows of red lateral marks,pigmentation
X. cortezi,character_30,0,Two or more rows of red lateral marks,pigmentation
X. couchianus,character_30,0,Two or more rows of red lateral marks,pigmentation
X. evelynae,character_30,0,Two or more rows of red lateral marks,pigmentation
X. gordoni,character_30,0,Two or more rows of red lateral marks,pigmentation
X. helleri,character_30,1,Two or more rows of red lateral marks,pigmentation
